Country,Region,HDI_Category,Population,Screening_Rate,Median_Age,Urbanization_Rate,Healthcare_Expenditure,GDP_Per_Capita,Obesity_Rate,Smoking_Rate,Alcohol_Consumption,Physical_Activity_Rate,Family_History_Rate,Breastfeeding_Rate,Average_Diagnosis_Age,Survival_Rate,Access_To_Care,Education_Level,Women_Population,Breast_Cancer_Cases,Breast_Cancer_Deaths,Cases_Per_100K,Deaths_Per_100K,Mortality_Rate
France,Africa,High,180334155,23.79,40,52.55,9653,28890,35.29,31.87,3.68,48.66,20.9,35.62,30,76.24,44.86,Primary,89546392,193110,35936,215.65,40.13,18.61
China,North America,Low,99180026,30.69,34,52.22,6389,37990,31.09,19.7,9.46,70.1,30.09,73.84,43,91.89,49.14,Tertiary,49248649,106206,19764,215.65,40.13,18.61
Egypt,Europe,Medium,137306395,52.44,23,66.48,5685,9675,38.26,8.11,10.08,66.01,42.9,66.15,38,86.89,59.16,Tertiary,68180608,147034,27362,215.65,40.13,18.61
India,Asia,Medium,93655657,67.81,40,52.26,3366,31379,25.6,19.43,12.38,73.26,43.85,60.52,33,51.1,22.34,Tertiary,46505478,100291,18663,215.65,40.13,18.61
Saudi Arabia,Europe,High,189940627,25.5,29,42.67,6289,21988,31.19,31.54,2.29,24.96,45.71,19.4,36,68.93,76.38,Tertiary,94316564,203397,37851,215.65,40.13,18.61
India,South America,Medium,159028420,39.9,47,74.47,1334,2677,19.8,21.47,7.4,32.65,41.35,14.19,44,73.81,48.74,Secondary,78966856,170295,31691,215.65,40.13,18.61
Russia,Oceania,High,69212566,72.83,45,52.02,764,23792,26.13,37.84,4.54,77.49,34.37,84.66,67,50.49,41.45,Secondary,34368063,74116,13792,215.65,40.13,18.61
Argentina,South America,High,178240271,19.75,25,46.62,9510,18668,28.89,33.6,1.12,75.07,17.09,52.59,47,56.01,81.94,Primary,88506657,190868,35519,215.65,40.13,18.61
South Korea,North America,Low,109982064,51.99,37,66.18,542,42200,11.97,32.37,4.55,30.42,23.54,14.9,68,82.6,76.29,Tertiary,54612489,117774,21917,215.65,40.13,18.61
Brazil,Oceania,Medium,197039186,70.23,28,81.21,5461,12639,46.77,14.72,12.86,38.97,17.68,59.39,52,61.23,49.63,Secondary,97841411,210999,39265,215.65,40.13,18.61
United States,Africa,High,77712007,85.13,31,79.53,1057,45951,48.45,26.11,4.89,29.15,18.93,49.26,54,85.8,36.89,Tertiary,38588529,83217,15486,215.65,40.13,18.61
Italy,Europe,Medium,147831191,59.5,25,81.31,8011,40180,24.27,5.13,1.93,79.22,40.74,80.42,67,95.93,77.4,Tertiary,73406781,158304,29459,215.65,40.13,18.61
Italy,North America,Low,159080851,67.86,33,26.72,9916,11201,11.43,13.39,8.76,77.19,19.67,22.38,47,54.99,71.83,Tertiary,78992891,170351,31701,215.65,40.13,18.61
Canada,Africa,Low,70898600,87.58,27,38.76,152,19732,31.3,35.67,3.35,66.54,21.39,45.5,38,81.91,81.62,Primary,35205277,75921,14128,215.65,40.13,18.61
Indonesia,Africa,High,164751950,62.48,21,62.22,2194,36331,26.28,24.53,5.18,51.08,23.97,73.57,50,72.68,69.38,Secondary,81808922,176424,32831,215.65,40.13,18.61
Egypt,Africa,Low,178174916,21.28,37,50.41,822,23152,47.04,11.13,12.62,70.78,36.8,42.93,42,55.36,25.73,Secondary,88474205,190798,35506,215.65,40.13,18.61
Germany,Europe,Low,10283188,75,32,73.39,5285,42134,28.81,39.51,5.96,27.3,37,33.45,41,63.51,86.44,Primary,5106200,11011,2049,215.64,40.13,18.61
United States,South America,Low,17846479,48.78,45,35.31,9767,33094,22.86,9.5,2.84,41.73,41.12,47.48,64,81.29,68.76,Tertiary,8861814,19110,3556,215.64,40.13,18.61
Japan,Asia,Low,184382010,45.65,46,89.57,8459,45574,23.24,10.23,13.68,43.27,13.49,10.74,52,52.74,27.43,Secondary,91556388,197445,36743,215.65,40.13,18.61
Russia,Africa,Medium,149654002,68.42,49,49.51,9393,38360,9.24,10.94,8.81,70.24,11.75,40.34,43,66.76,86.28,Primary,74311913,160256,29822,215.65,40.13,18.61
Turkey,South America,Low,187679531,79.83,27,64.59,1683,11832,34.1,15.62,14.42,61,24.38,35.01,30,94.15,63.86,Tertiary,93193799,200976,37400,215.65,40.13,18.61
Italy,North America,Medium,15595213,77.04,44,56.09,3110,41289,12.24,36.14,3.04,63.28,39.29,57.77,51,65.21,86.43,Primary,7743929,16700,3107,215.65,40.12,18.6
Indonesia,Europe,Medium,29496675,14.96,37,39.12,7491,15989,17.42,38.25,12.92,32.23,36.11,46.74,33,61.77,47.95,Tertiary,14646814,31586,5878,215.65,40.13,18.61
Egypt,Africa,Medium,23458337,84.73,46,79.2,8172,21682,13.11,27.49,6.24,24.31,42.15,74.46,40,75.31,52.45,Secondary,11648428,25120,4674,215.65,40.13,18.61
United States,Europe,High,152888479,67.91,34,52.27,470,44471,11.97,17.5,11.47,64.49,42.83,10.39,54,51.38,88.09,Secondary,75918018,163720,30467,215.65,40.13,18.61
India,Asia,High,83319506,12.58,26,68.88,1295,41027,33.05,29.71,8.03,38.66,23.7,17.53,63,89.47,24.48,Secondary,41372979,89222,16603,215.65,40.13,18.61
Nigeria,Oceania,High,40491256,25.64,22,52.79,2053,41929,29.42,29.55,11.98,20.79,15.83,27.2,47,65.58,24.11,Tertiary,20106262,43360,8069,215.65,40.13,18.61
Egypt,Europe,High,70024898,81.46,21,67.43,6998,3778,41.03,14.38,8.91,59.01,32.75,83.71,59,93.15,73.42,Primary,34771433,74986,13954,215.65,40.13,18.61
Bangladesh,Asia,Medium,89266582,54.42,31,38.42,8595,8208,49.21,20.15,5.63,65.8,14.48,21.89,45,66.76,47.66,Secondary,44326048,95591,17789,215.65,40.13,18.61
India,Oceania,Medium,103139053,41.17,48,78.9,7256,32881,19.12,5.86,10.1,79.99,16.96,75.59,50,64.19,28.34,Secondary,51214536,110446,20553,215.65,40.13,18.61
United States,North America,High,195609879,17.25,48,58.38,7354,33752,37.62,8.21,8.67,61.82,29.56,21.24,55,87.16,68.06,Tertiary,97131677,209468,38981,215.65,40.13,18.61
Spain,Asia,Medium,65400561,35.86,36,26.01,4916,48611,33.69,17.66,2.4,43.85,28.44,71.18,47,50.22,23.8,Secondary,32475181,70034,13033,215.65,40.13,18.61
Vietnam,Europe,High,48732904,15.47,36,88,753,22705,24.62,11.15,6.83,36.59,41.35,52.12,58,95.66,81.75,Primary,24198720,52185,9711,215.65,40.13,18.61
South Africa,Africa,Medium,9218524,39.45,27,83.12,8769,4425,27.54,8.94,7.55,20.8,11.98,56.2,65,75.81,72.45,Primary,4577533,9871,1836,215.64,40.11,18.6
Pakistan,Africa,Low,43414406,72.3,42,49.01,9475,37876,6.81,23.46,2.29,60.74,49.46,50.2,32,52.12,38,Tertiary,21557776,46490,8651,215.65,40.13,18.61
United States,Asia,High,197026884,69.07,31,61.7,1089,30190,22.49,34.11,4.54,42.17,43.89,19.55,37,91.57,27.81,Primary,97835303,210986,39263,215.65,40.13,18.61
France,Asia,Medium,65727089,36.61,40,89.92,2349,25900,27.95,24.19,13.12,53.59,31.46,53.98,37,82.02,63.47,Secondary,32637321,70383,13097,215.65,40.13,18.61
Indonesia,Africa,Low,104648059,86.35,30,85.12,3837,26917,14.44,9.45,13.72,24.68,10.72,19.46,45,81.48,66.97,Primary,51963845,112062,20854,215.65,40.13,18.61
Turkey,Oceania,High,129459947,26.62,22,55.03,2323,43528,30.47,18.79,8.74,37.16,17.1,28.94,63,74.01,73.82,Tertiary,64284390,138632,25798,215.65,40.13,18.61
Spain,Africa,High,66023486,75.45,44,43.61,1082,12272,46.6,23.93,9.43,44.81,20.11,15.96,36,53.68,67.83,Primary,32784499,70701,13157,215.65,40.13,18.61
Saudi Arabia,Africa,Low,30711380,68.1,41,71.42,4995,35379,8.58,12.18,7.42,53.86,10.45,11.58,59,76.8,47.03,Secondary,15249985,32887,6120,215.65,40.13,18.61
Pakistan,Oceania,Medium,121490717,85.07,39,32.44,4643,14135,19.93,29.32,11.19,57.51,10.1,60.77,68,93.37,40.97,Tertiary,60327204,130098,24210,215.65,40.13,18.61
Bangladesh,Africa,Low,146634424,73.97,49,47.52,2800,10701,19.91,28.94,8.06,51.3,44.28,83.83,69,61.27,88.36,Tertiary,72812517,157023,29221,215.65,40.13,18.61
China,South America,Low,6478911,67.16,38,48.09,230,45633,30.12,21.98,0.76,76.18,41.83,83.32,53,95.61,47.9,Tertiary,3217156,6937,1290,215.63,40.1,18.6
South Africa,Europe,Low,85370293,71.92,38,21.84,6534,40464,48.93,21.69,5.86,57.5,27.01,22.08,59,83.39,68.38,Primary,42391314,91418,17012,215.65,40.13,18.61
China,Asia,Low,187757374,30.81,34,74.03,5215,45288,27.73,19.66,9.74,22.59,41.85,38.08,47,75.84,51.1,Tertiary,93232452,201059,37416,215.65,40.13,18.61
Italy,Africa,High,141543790,40.05,36,67.26,5330,30622,20.78,10.71,12.18,68.01,32.51,52.15,65,61.68,41.66,Tertiary,70284721,151572,28206,215.65,40.13,18.61
France,Africa,Low,117040696,67.93,27,80.63,2284,36248,21.43,24.58,5,38.88,15.94,13.24,66,84.64,71.72,Secondary,58117510,125332,23323,215.65,40.13,18.61
India,North America,Low,109868383,80.37,28,67.56,8300,36679,31.72,5.92,14.31,62.11,16.84,74.99,39,77.09,37.26,Tertiary,54556040,117652,21894,215.65,40.13,18.61
Japan,North America,Medium,129752317,64.09,48,67.59,777,35368,29.43,15.66,10.02,26.39,41.41,35.05,36,80.07,53.66,Tertiary,64429569,138945,25857,215.65,40.13,18.61
Australia,North America,High,195414817,85.37,25,59.81,726,20786,32.82,38.42,0.11,27.22,14.61,78.76,46,60.3,66.27,Tertiary,97034818,209259,38942,215.65,40.13,18.61
Pakistan,Europe,Medium,155701794,16.37,38,79.86,8659,32551,25.66,17.41,9.88,54.86,22.38,63.84,49,82.65,89.42,Secondary,77314993,166733,31028,215.65,40.13,18.61
Argentina,Oceania,Medium,52957113,63.02,22,68.89,5841,43324,35.58,23.55,1.67,71.29,18.59,86.23,66,84.95,86.28,Primary,26296285,56709,10553,215.65,40.13,18.61
United Kingdom,Africa,Low,6147057,68.68,40,75.95,167,36427,49.27,27.03,0.99,47.8,35.96,12.37,42,76.62,75.02,Primary,3052371,6582,1224,215.64,40.1,18.6
South Africa,Oceania,Low,10352545,81.39,22,77.2,7984,12001,45.67,28.82,14.05,62.69,46.16,11.74,50,84.45,34.95,Secondary,5140640,11086,2063,215.65,40.13,18.61
Bangladesh,North America,Low,38987245,70.66,48,26.95,8311,9367,39.47,27.92,11.6,34.08,23.61,45.99,68,55.53,83.59,Secondary,19359433,41749,7769,215.65,40.13,18.61
United States,South America,Medium,46098995,63.4,32,32.47,7103,41382,34.2,24.32,14.95,50.64,32.41,59.48,52,56.66,20.17,Tertiary,22890831,49365,9186,215.65,40.13,18.61
Spain,Oceania,Low,12547973,29.84,40,88.97,5684,15617,35.49,13.62,6.16,37.12,48.19,48.99,36,94.58,87.86,Primary,6230798,13436,2500,215.64,40.12,18.61
Vietnam,Europe,Medium,107431031,34.93,36,24.79,1274,10029,43.14,9.39,11.13,48.07,27.93,53.59,39,83.29,50.57,Primary,53345753,115042,21408,215.65,40.13,18.61
Turkey,Africa,High,62696514,16.81,29,64.74,9314,1335,46.6,37.24,9.71,75.11,42.26,14.4,52,79.81,61.63,Secondary,31132464,67138,12494,215.65,40.13,18.61
Mexico,Asia,Low,84005345,43.1,23,29.22,9161,45947,29.62,10.19,0.07,23.24,14.28,45.21,63,70.91,61.58,Secondary,41713537,89957,16740,215.65,40.13,18.61
United Kingdom,Oceania,Medium,112441284,58.33,33,74.8,8349,10844,9.08,32.57,13.14,61.67,46.16,35.04,51,59.22,84.21,Secondary,55833634,120407,22407,215.65,40.13,18.61
Vietnam,North America,Medium,147257127,67.19,25,56.67,6409,9813,20.78,12.41,2.47,46.11,16.96,85.26,46,93.94,67.59,Tertiary,73121725,157690,29345,215.65,40.13,18.61
Brazil,Africa,Medium,21652165,80.24,29,71.13,157,35291,40.19,31.8,7.84,21.68,22.16,40.26,37,73.05,23.36,Primary,10751558,23186,4314,215.65,40.12,18.61
Mexico,North America,High,176668122,36.11,34,52.78,1011,33561,33.56,36.55,3.33,71.78,20.46,67.18,47,97.85,35.54,Primary,87725994,189184,35206,215.65,40.13,18.61
Nigeria,Oceania,Medium,194383582,11.91,33,43.94,4726,23799,19.68,34.13,12.97,40.2,39.48,62.8,63,70.41,62.96,Secondary,96522750,208155,38736,215.65,40.13,18.61
India,Asia,Medium,67194564,44.54,43,83.44,5657,29040,43.84,24.98,5.1,45.62,29.68,18.77,41,92.69,34.42,Tertiary,33366007,71955,13390,215.65,40.13,18.61
France,Europe,High,83977310,48.42,35,84.12,6820,26479,49.56,33.87,10.96,32.87,16.26,23.74,43,90.89,66.93,Primary,41699616,89927,16735,215.65,40.13,18.61
Indonesia,Asia,Medium,175388050,15.44,39,42.42,1346,43387,24.87,12.63,4.21,74.07,46.08,61.35,52,80.02,37.02,Primary,87090364,187814,34951,215.65,40.13,18.61
Argentina,North America,Low,105620906,39.12,25,25.25,9141,1428,21.8,5.16,4.93,37.28,22.95,65.2,64,71.75,81.03,Secondary,52446920,113104,21048,215.65,40.13,18.61
Indonesia,Asia,Medium,190536813,87.52,27,35.78,2435,38624,40.47,31.45,9.05,25.88,20.08,15.02,60,87.49,73.36,Secondary,94612605,204036,37970,215.65,40.13,18.61
Canada,North America,High,96525938,85.36,37,72.53,2929,1205,40.72,21.41,10.72,53.27,45.84,23.4,51,78.09,89.68,Primary,47930740,103364,19235,215.65,40.13,18.61
South Korea,Oceania,Medium,137898359,65.39,27,71.61,8188,22718,38.82,24.85,5.45,55.58,19.5,25.22,30,62.31,63.95,Primary,68474552,147668,27480,215.65,40.13,18.61
Bangladesh,South America,Medium,47595817,35.74,22,41.95,1141,45059,8.5,14.91,12,53.16,25.91,65.4,32,61.93,60.19,Secondary,23634090,50967,9484,215.65,40.13,18.61
Saudi Arabia,North America,High,150316253,15.22,36,40.5,2521,35269,45.58,30.35,7.32,39.39,21.56,10.2,58,56.99,61.27,Tertiary,74640759,160966,29955,215.65,40.13,18.61
China,Oceania,Medium,59598591,20.56,45,84.2,1486,22622,47.62,16.55,6.39,25.91,49.32,59.02,36,79.65,56.88,Primary,29594165,63821,11876,215.65,40.13,18.61
China,South America,Low,161944480,57.79,32,81.64,9024,48746,6.37,35.32,2.33,48.02,12.49,26.07,36,90.72,52.12,Secondary,80414849,173418,32272,215.65,40.13,18.61
Bangladesh,Europe,Low,40151872,43.47,25,46.13,7922,14171,48.95,19.82,9.23,53.58,18.14,63.37,53,88.03,51.87,Secondary,19937738,42996,8001,215.65,40.13,18.61
Pakistan,Asia,Medium,49128447,40.19,45,35.89,4726,25078,23.86,37.67,1.75,69.29,20.87,56.47,49,70.29,41.35,Tertiary,24395130,52609,9790,215.65,40.13,18.61
South Korea,Asia,Low,23891358,50.49,31,44.63,7714,16572,20.88,35.8,8.94,75.08,43,47.79,66,53.34,35.45,Secondary,11863448,25584,4761,215.65,40.13,18.61
Vietnam,North America,Medium,105177262,69.26,45,37.13,9729,9142,44.97,33.89,5.67,27.78,12.86,78.14,44,96.17,45.22,Secondary,52226625,112629,20959,215.65,40.13,18.61
Pakistan,Europe,High,64665993,58.98,42,22.81,8995,33725,27.57,17.87,14.85,26.46,12.89,81.17,30,72.5,42.23,Primary,32110425,69247,12886,215.65,40.13,18.61
Pakistan,South America,Low,163491348,35.32,45,27.39,6178,45476,33.64,7.76,10.25,39.74,37.23,66.62,66,68.32,33.21,Primary,81182959,175074,32580,215.65,40.13,18.61
Italy,South America,Medium,130812015,73.06,21,37.99,7208,34220,38.14,34.34,9.39,64.06,35.99,22.79,44,54.67,54.84,Primary,64955771,140080,26068,215.65,40.13,18.61
Nigeria,North America,Low,66916743,37.32,33,81.37,3619,49243,5.66,29.02,11.41,42.24,11.34,64.81,35,62.73,28.42,Primary,33228053,71657,13335,215.65,40.13,18.61
South Africa,North America,Low,195068868,72.26,21,33.83,7308,8961,47.73,17.38,1.12,40.7,25.97,34.49,35,63.72,66.49,Secondary,96863034,208889,38873,215.65,40.13,18.61
Germany,Oceania,Low,13412890,36.37,49,38.25,2893,1290,47.39,27.54,12.59,50.14,15.13,60.99,45,87.89,80.72,Secondary,6660279,14363,2672,215.65,40.12,18.6
Saudi Arabia,South America,Low,62119782,12.86,36,61.93,9171,32094,11.03,26.65,2.3,53.84,13.75,47.4,60,94.57,84.49,Tertiary,30846083,66520,12379,215.65,40.13,18.61
Pakistan,Europe,Low,188239701,25.75,43,57.99,2258,31095,35.49,14.77,8.83,67.52,34.72,31.87,46,80.05,46.11,Secondary,93471956,201576,37512,215.65,40.13,18.61
Australia,North America,Medium,12943793,38.01,22,85.07,878,13320,7.34,35.82,2.74,30.53,37.76,20.18,57,82.8,37.62,Tertiary,6427345,13860,2579,215.64,40.13,18.61
Russia,Oceania,Low,86053449,57.04,37,85.94,3963,10476,23.23,8.39,0.74,70.09,11.25,23.69,54,85.24,38.1,Primary,42730540,92150,17148,215.65,40.13,18.61
India,Oceania,Medium,175751483,29.23,47,33.07,9167,3729,44.36,10.05,2.89,23.22,32.99,37.6,38,63.41,46.95,Primary,87270829,188203,35023,215.65,40.13,18.61
France,Europe,Medium,72773083,51.49,25,55.73,7226,44596,24.5,19.57,4.3,42.24,31.58,62.28,31,62.93,86.28,Primary,36136066,77929,14502,215.65,40.13,18.61
Egypt,Africa,High,130410056,13.21,42,87.62,2484,42884,41.53,19.36,12.52,36.15,48.61,56.62,48,74.97,83.31,Tertiary,64756175,139649,25988,215.65,40.13,18.61
Canada,Asia,Low,32333446,78.57,33,22.6,5527,46215,7.7,34.85,2.99,37.23,14.58,86.87,55,98.54,41.28,Tertiary,16055435,34624,6443,215.65,40.13,18.61
Canada,Africa,High,185831126,34.95,34,84.3,4206,37075,15.5,37.86,14.95,73.87,27.01,70.2,59,82.03,26.75,Tertiary,92275958,198997,37032,215.65,40.13,18.61
Russia,Asia,High,14946123,42.76,40,29.08,4052,44063,46.7,18.61,6.36,64.36,20.2,19.28,36,57.19,47.59,Tertiary,7421619,16005,2978,215.65,40.13,18.61
United Kingdom,North America,Low,71339107,55.28,41,81.6,6648,16268,11.9,12.68,5.25,36.36,23.02,53.62,61,98.75,76.18,Tertiary,35424014,76393,14216,215.65,40.13,18.61
Brazil,Europe,High,109754500,67.56,29,27.01,830,41519,32.6,11.84,8.07,50.51,48.13,69.69,55,74.8,31.95,Primary,54499490,117530,21871,215.65,40.13,18.61
Germany,South America,High,140173960,26.07,29,28.79,3284,49714,17.31,33.62,0.82,43.97,21.67,81.97,34,57.78,54.32,Tertiary,69604521,150105,27933,215.65,40.13,18.61
Mexico,Asia,High,13883482,21.3,29,54.65,3455,21422,16.85,19.08,8.09,72.6,24,40.65,65,53.84,21.6,Tertiary,6893956,14867,2766,215.65,40.12,18.6
Nigeria,South America,Low,1112274,64.42,20,27.24,7346,25625,44.76,17.15,8.58,38.78,30.59,65.09,32,98.07,81.85,Secondary,552308,1191,221,215.64,40.01,18.56
Saudi Arabia,Europe,High,193644670,68.64,27,61.87,3054,21239,25.5,36.37,14.63,79.06,14.36,37.08,50,69.94,49.28,Primary,96155837,207364,38589,215.65,40.13,18.61
United States,North America,High,112952036,71.8,40,61.84,5086,41775,16.17,25.71,3.13,42.65,31.71,69.93,69,90.31,39.81,Tertiary,56087253,120954,22508,215.65,40.13,18.61
Bangladesh,South America,Medium,76878105,29.71,44,37.86,3521,12764,24.63,22.25,6.94,60.78,46.66,84.61,42,83.28,25.92,Secondary,38174448,82324,15320,215.65,40.13,18.61
France,Oceania,Medium,62074033,84.19,41,78.2,4054,34464,34.79,39.98,8.92,62.11,24.16,43.19,35,90.71,42.2,Secondary,30823366,66471,12369,215.65,40.13,18.61
Nigeria,Africa,Medium,195149775,49.28,31,37.81,1127,42402,21.53,18.08,12.13,32.84,12.41,27.58,53,84.59,44.49,Primary,96903209,208976,38889,215.65,40.13,18.61
Argentina,Europe,Medium,169943219,14.55,40,52.67,6924,17567,43.91,11.36,14.04,73.41,16.18,27.56,59,88.58,76.03,Secondary,84386688,181983,33866,215.65,40.13,18.61
Mexico,Europe,High,46288509,25.39,25,37.56,8046,27076,22.29,10.28,5.02,67.2,39.91,63.08,36,80.67,73.97,Tertiary,22984935,49568,9224,215.65,40.13,18.61
Spain,South America,High,115263445,82.08,29,55.17,8053,16203,32.47,7.95,8.42,50.13,18.35,12,46,90.54,70.45,Secondary,57235001,123429,22969,215.65,40.13,18.61
South Africa,Asia,Low,116493159,62.76,32,37.44,9410,43775,38.92,7.79,11.29,22.93,17.41,24.2,51,76.27,80.9,Primary,57845626,124746,23214,215.65,40.13,18.61
South Korea,South America,Medium,62896491,31.29,34,78.12,4921,37994,25.37,18.91,5.69,21.51,40.58,80.52,42,55.74,74.15,Primary,31231764,67352,12533,215.65,40.13,18.61
Italy,North America,High,99260343,83.34,36,48.72,7385,31121,32.1,6.5,6.18,24.75,15.74,34.95,37,96.14,87.4,Tertiary,49288531,106292,19780,215.65,40.13,18.61
Turkey,South America,Low,86079309,12.16,45,38.18,7674,11793,33.08,17.66,6.94,30.61,29.85,75.56,37,58.41,59.79,Secondary,42743381,92177,17153,215.65,40.13,18.61
South Korea,Oceania,High,94086124,12.27,34,56.2,1922,47896,47.94,10.93,12.04,54.55,35.17,19.54,44,73.46,22.47,Tertiary,46719230,100752,18749,215.65,40.13,18.61
Bangladesh,Europe,Medium,76440566,34.14,27,30.52,2462,16367,22.7,8.79,2.46,33.51,36.37,13.92,37,60.33,49.89,Primary,37957185,81856,15233,215.65,40.13,18.61
Russia,Oceania,Low,84694966,21.28,49,65.74,3827,22164,8.61,38.6,1.79,33.08,32.55,39.04,48,73.21,41.01,Secondary,42055974,90695,16877,215.65,40.13,18.61
Egypt,Africa,High,170685634,11.83,44,81.57,6723,22558,12.9,23.74,9.29,42.09,47.04,64.53,50,70.13,42.12,Primary,84755341,182778,34014,215.65,40.13,18.61
Bangladesh,South America,High,108879669,64.4,31,80.4,5210,46957,14.67,23.27,5.54,44.09,23.34,80.66,64,85.44,62.54,Secondary,54065086,116593,21697,215.65,40.13,18.61
Japan,Africa,Medium,74604506,32.07,37,51.14,8426,27084,31.11,27.57,4.54,36.99,12.23,88.65,52,83.92,88.54,Primary,37045474,79890,14867,215.65,40.13,18.61
Canada,Europe,Medium,90306630,60.25,34,87.02,8332,35169,39.48,33.9,9.31,68.68,30.88,50.91,45,54.41,66.96,Primary,44842492,96704,17996,215.65,40.13,18.61
Egypt,South America,Medium,95046224,55.48,38,78.59,6632,49177,15.93,29.79,0.15,36.81,32.68,55.26,63,69.44,43.86,Secondary,47195976,101780,18940,215.65,40.13,18.61
India,Europe,High,176371215,80.27,27,54.87,7636,6249,19.74,36.25,0.47,53.92,36.91,17.54,30,57.08,79.21,Secondary,87578562,188867,35147,215.65,40.13,18.61
India,Europe,Medium,115072067,66,20,22.55,9578,27087,8.29,6.18,3.16,69.35,26.09,21.36,47,82.67,53.56,Primary,57139971,123224,22931,215.65,40.13,18.61
Saudi Arabia,Asia,High,182842458,26.4,31,43.74,6717,5131,17.4,35.3,6.7,23.07,42.17,32.94,33,55.46,70.5,Tertiary,90791911,195796,36436,215.65,40.13,18.61
China,Asia,Low,66820357,19.97,20,38.75,1988,47673,44.11,37.47,12.31,26.82,35.49,44.56,43,59.23,83.06,Secondary,33180192,71554,13315,215.65,40.13,18.61
Pakistan,Oceania,High,44919746,42.85,25,38.01,5923,18455,32.61,11.81,14.67,45.4,45.99,87.91,44,57.96,79.91,Tertiary,22305265,48102,8951,215.65,40.13,18.61
Argentina,Asia,Low,31595550,86.33,47,31.12,7231,38526,43.13,7.37,0.08,58.17,30.58,14.14,40,89.38,29.49,Secondary,15689027,33834,6296,215.65,40.13,18.61
Vietnam,North America,High,48188080,53.43,47,68.27,9862,47774,47.81,35.34,4.7,22.15,49.26,24.86,62,67.84,67.49,Primary,23928183,51602,9602,215.65,40.13,18.61
France,Europe,Low,155936605,21.67,25,36.84,7776,12410,35.83,36.36,12.64,71.5,25.71,87.26,64,96.61,78.47,Tertiary,77431590,166984,31074,215.65,40.13,18.61
Mexico,South America,High,36247794,32.7,33,75.85,8283,27721,34.59,13.83,7.61,56.81,48.78,82.72,38,56.26,55.19,Secondary,17999137,38815,7223,215.65,40.13,18.61
Egypt,Europe,Low,56814185,67.54,48,20.9,3361,28739,46.35,31.69,5.56,69.66,37.91,87.23,45,89.85,87.06,Primary,28211546,60839,11321,215.65,40.13,18.61
India,Europe,High,175989520,60.19,43,29.25,3107,46610,45.59,28.8,12.93,26.18,47.81,26.08,48,95.6,68.1,Secondary,87389028,188458,35071,215.65,40.13,18.61
Argentina,Africa,Medium,91119417,26.41,34,35.16,3595,10346,8.83,11.08,2.92,66.87,12.25,40.81,50,56.86,44.62,Primary,45246088,97575,18158,215.65,40.13,18.61
United Kingdom,Asia,Medium,55907327,75.2,29,51.92,5778,23172,44.37,6.1,10.51,67.27,32.79,71.66,47,53.88,31.65,Tertiary,27761238,59868,11141,215.65,40.13,18.61
Russia,Oceania,Medium,16896476,23.05,30,29.71,3967,13538,35.94,12.76,1.12,34.47,34.13,86.87,47,88.5,86.87,Tertiary,8390082,18093,3367,215.65,40.13,18.61
Pakistan,South America,Medium,52856203,16.94,41,41.78,9482,38325,10.88,34.09,10.64,56.69,13.55,59.64,37,54.82,45.21,Primary,26246177,56601,10533,215.65,40.13,18.61
Bangladesh,North America,High,141878008,88.89,22,23.26,8299,4410,9.15,6.92,9.48,59.92,21.11,40.13,53,52.94,75.51,Tertiary,70450679,151930,28273,215.65,40.13,18.61
United States,Asia,Medium,96387993,22.43,35,36.09,198,34590,27.31,25.93,9.15,34.52,28.84,41.61,66,74.19,40.14,Primary,47862242,103217,19208,215.65,40.13,18.61
Canada,Africa,High,66530246,27.42,41,47.34,4480,7176,28.24,14.26,9.02,22.16,32.57,69.37,34,93.62,67.15,Secondary,33036135,71243,13257,215.65,40.13,18.61
Argentina,South America,Low,73888053,56.69,40,46.95,5617,1742,17.22,25.31,1.6,50.49,31.58,48.9,45,59.39,42.66,Primary,36689714,79122,14724,215.65,40.13,18.61
South Korea,Europe,High,124298129,20.86,45,37.47,2244,45626,27.19,10.38,1.73,54.07,13.48,62.24,50,86.92,22.11,Secondary,61721247,133104,24770,215.65,40.13,18.61
Russia,North America,High,172156465,10.79,27,80.39,328,19801,30.68,35.51,11.26,34.4,39.7,55.68,55,73.21,29,Tertiary,85485694,184353,34307,215.65,40.13,18.61
Pakistan,Africa,High,18574614,67.52,34,72.25,1751,13687,24.06,16.41,3.46,60.19,41.37,71.94,40,52.02,21.4,Secondary,9223375,19890,3701,215.65,40.13,18.61
Vietnam,South America,Low,123112815,83.33,40,29.82,4723,47843,20.97,35.17,9.7,75.44,21.99,56.16,56,77.48,27.45,Tertiary,61132670,131835,24533,215.65,40.13,18.61
Indonesia,Oceania,High,124052260,58.2,39,33.58,8562,41381,43.37,24.76,0.96,42.23,25.54,63.29,42,80.72,79.58,Secondary,61599159,132841,24721,215.65,40.13,18.61
Russia,North America,High,176002114,86.79,21,86.88,4520,41703,44.16,16.17,13.59,74.99,41.5,14.01,38,84.65,27.03,Secondary,87395282,188471,35073,215.65,40.13,18.61
Saudi Arabia,Oceania,Medium,142594698,68.42,38,88.31,1488,26285,15.84,9.28,12.13,42.67,24.81,24.3,31,65.84,85.93,Secondary,70806558,152697,28416,215.65,40.13,18.61
Italy,North America,Low,6999039,83.41,35,26.76,883,49958,5.7,38.08,12.27,24.16,31.43,76.66,37,88.34,75.35,Tertiary,3475429,7494,1394,215.63,40.11,18.6
